######################## Logger for Validator: v4 ######################## 

[INFO]: 2021-10-18 00:46:12   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 00:46:12   		 [ Validator: v4 adding transaction: c1 - 0 ]
[INFO]: 2021-10-18 00:46:12   		 [ Validator: v4created Votemsg :  ]
[INFO]: 2021-10-18 00:46:12   		 [ Validator: v4 sending VOTE_MESSAGE  to the leader: v2 ]
[INFO]: 2021-10-18 00:46:14   		 [ Validator: v4 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-18 00:46:14   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 00:46:14   		 [ Validator: v4 adding transaction: c1 - 0 ]
[INFO]: 2021-10-18 00:46:14   		 [ Validator: v4created Votemsg :  ]
[INFO]: 2021-10-18 00:46:14   		 [ Validator: v4 sending VOTE_MESSAGE  to the leader: v4 ]
[INFO]: 2021-10-18 00:46:14   		 [ Validator: v4 received Proper Vote Msg from the validator: v1 ]
[INFO]: 2021-10-18 00:46:14   		 [ Validator: v4 received Proper Vote Msg from the validator: v2 ]
[INFO]: 2021-10-18 00:46:14   		 [ Validator: v4 received Proper Vote Msg from the validator: v4 ]
[INFO]: 2021-10-18 00:46:14   		 [ Validator: v4 created QC message ]
[INFO]: 2021-10-18 00:46:14   		 [ Validator: v4 adding commit for transaction: ['c1 - 0'] ]
[INFO]: 2021-10-18 00:46:14   		 [ Validator: v4 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-18 00:46:14   		 [ Validator: v4 received Proper Vote Msg from the validator: v3 ]
[INFO]: 2021-10-18 00:46:14   		 [ Validator: v4 created QC message ]
[INFO]: 2021-10-18 00:46:14   		 [ Validator: v4 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-18 00:46:15   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 00:46:15   		 [ Validator: v4 Client c1 Authentication Successful ]
######################## Logger for Validator: v4 ######################## 

[INFO]: 2021-10-18 00:46:16   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 00:46:16   		 [ Validator: v4 adding transaction: c1 - 0 ]
